"","company","model","old","fuel","km","price"
"1","기아","K5 2세대 2.0 가솔린 SX 럭셔리",53,"가솔린",90000,1190
"2","기아","K5 2세대 2.0 가솔린 SX 프레스티지",53,"가솔린",50000,1250
"3","기아","더 뉴 K5 2세대 2.0 가솔린 노블레스",20,"가솔린",20000,1620
"4","기아","K5 2.0 LPi  프레스티지",92,"LPG",50000,650
"5","기아","K5 2.0 디럭스",104,"가솔린",90000,370
"6","기아","K5 2세대 2.0 가솔린 MX  프레스티지",32,"가솔린",30000,1900
"7","기아","더 뉴 K5 2세대 2.0 LPI  노블레스",20,"LPG",10000,2280
"8","기아","K5 2.0 LPi 프레스티지",85,"LPG",10000,1330
"9","기아","K5 2세대 2.0 가솔린 MX 노블레스 스페셜",55,"가솔린",90000,1450
"10","기아","K5 2세대 2.0 가솔린 MX 프레스티지",55,"가솔린",50000,890
"11","기아","K5 2세대 LPI SX  럭셔리",38,"LPG",90000,990
"12","기아","K5 2.0 LPi 디럭스",116,"LPG",160000,570
"13","기아","K5 하이브리드 500H 프레스티지 ",84,"가솔린+전기",80000,1160
"14","기아","K5 하이브리드 디럭스",77,"가솔린+전기",70000,1050
"15","기아","K5 2.0  터보 프레스티지",102,"가솔린",110000,880
"16","기아","더 뉴 K5 2.0 프레스티지",75,"가솔린",1e+05,1120
"17","기아","K5 2.0 프레스티지",97,"가솔린",1e+05,880
"18","기아","더 뉴 K5 2.0  프레스티지",69,"가솔린",80000,1230
"19","기아","K5 하이브리드 프레스티지",99,"가솔린+전기",110000,980
"20","기아","K5 2.0  럭셔리",117,"가솔린",80000,890
"21","기아","K5 2세대 LPI SX  럭셔리",36,"LPG",1e+05,1150
"22","기아","K5 2세대 2.0 T-GDI SX 노블레스 스페셜",45,"가솔린",1e+05,1830
"23","기아","K5 2세대 2.0 T-GDI SX GT",34,"가솔린",20000,2390
"24","기아","K5 2.0 LPi 디럭스",92,"LPG",140000,550
"25","기아","K5 2세대 LPI MX 프레스티지",50,"LPG",150000,980
"26","기아","K5 2.0 LPi 프레스티지",111,"LPG",70000,630
"27","기아","K5 2.0  프레스티지",106,"가솔린",120000,400
"28","기아","K5 2.4 GDI 노블레스",113,"가솔린",140000,650
"29","기아","K5 2.0 스마트 스페셜",96,"가솔린",170000,470
"30","기아","K5 2.0 LPi 프레스티지",100,"LPG",150000,695
"31","기아","K5 2.0 프레스티지",98,"가솔린",110000,790
"32","기아","K5 2.0  트렌디",83,"가솔린",130000,730
"33","기아","K5 2세대 1.7 디젤 MX  디럭스",50,"디젤",1e+05,1030
"34","기아","더 뉴 K5 2세대 2.0 가솔린 노블레스",22,"가솔린",10000,1799
"35","기아","더 뉴 K5 2.0 LPi 디럭스",63,"LPG",80000,670
"36","기아","더 뉴 K5 2.0 프레스티지",79,"가솔린",120000,870
"37","기아","K5 2.0 LPi  프레스티지",107,"LPG",120000,770
"38","기아","K5 하이브리드 럭셔리",85,"가솔린+전기",130000,950
"39","기아","더 뉴 K5 2.0 LPi 디럭스",96,"LPG",130000,550
"40","기아","K5 2세대 1.7 디젤 MX 노블레스",56,"디젤",120000,1399
"41","기아","K5 2.0 LPi  디럭스",112,"LPG",170000,390
"42","기아","K5 2.0 프레스티지",115,"가솔린",190000,469
"43","기아","더 뉴 K5 2.0 LPi 디럭스",76,"LPG",160000,599
